firma,street,plz,city,country,country_code,local_phone_number,anrede,vorname,nachname
"Landhotel Zum Bären, Inh. Walter Buggle e.K.",Bahnhofstrasse 24,65558,Balduinstein,DE,49,3476886172,,,
"Pension Stocker, Inh.: Sebastian Schäfer",Neue Straße 6,18347,Ostseebad Dierhagen,DE,49,3771365,,,
Gestüt Inselhof,Halbinsel Garden,18276,Lohmen,DE,49,1603540661,,,
"Gasthof & Hotel Bogenrieder, Inhaber: Martin Bogenrieder e. K",Ingolstädter Straße 15,85309,Pörnbach,DE,49,1796230724,,,
Hotel Volking,Herrenstein 22,48317,Drensteinfurt,DE,49,1779298724,,,
"Hotel & Restaurant Eigen, Inhaber: Torsten Czech",Kurt Wüsteneck Str. 1,6132,Halle (Saale),DE,49,1723499090,,,
"Alpenrose Bayrischzell, Bergspitz Betriebs GmbH",Schlierseer Straße 6,83735,Bayrischzell,DE,49,1602764406,,,
Hotel Albana Real AG,Schluhmattstrasse 19,3920,Zermatt,DE,49,1603503527,,,
"Pension 21, Inhaber: Herr Sahdad Fakirzai",Hauptstraße 136,70563,Stuttgart,DE,49,1737365078,,,
Pension Am Rheinsberger Schlosspark KG,Fontaneplatz 2,16831,Rheinsberg,DE,49,661796424073,,,
Cultrona Erlebnisreisen GmbH,Grandauerstraße 1,84494,Neumarkt-Sankt Veit,DE,49,1779063575,,,
"onda tours, Inh. Heidrun Mann",Uhlandstraße 28,72764,Reutlingen,DE,49,1706227320,,,
Reisedienst Fischer,Barbarossastr. 24,58636,Iserlohn,DE,49,1769741367,,,
Ulrike Kocher Reisen,Zülpicher Str. 181,50937,Köln,DE,49,1751773433,,,
Oscar Reisen GmbH,Bäckergasse 8,86150,Augsburg,DE,49,9587862177,,,
Personenschifffahrt Theo Dohr,St. Nazairer - Allee 2,66740,Saarlouis,DE,49,1769192965,,,
Rivers 2 Oceans Kreuzfahrten e.K.,Planckstraße 13,22880,Wedel,DE,49,1761154526,,,
Weingut H. Engelhard,Kleine Untergasse 1,67586,Hillesheim,DE,49,1798275090,,,
"Weingut Lutz, Inhaber: Manuel Lutz",Amthof 1,75038,Oberderdingen,DE,49,1735074671,,,
Gästehaus Staufen,Hochbühlstraße 4,87534,Oberstaufen i. Allgäu,DE,49,1776768584,,,
Zimmervermietung Gerlinde Schlieker,Schabernack 11,18565,"Neuendorf, Hiddensee",DE,49,1708891325,,,
TimeDesign GmbH & Co. KG,Vom-Stein-Straße 45,78050,VS-Villingen,DE,49,1774605565,,,
proLogistik GmbH + Co KG,Fallgatter 1,44369,Dortmund,DE,49,1769391933,,,
codia Software GmbH,Edisonstraße 2,49716,Meppen,DE,49,1772181322,,,
TACOS Technische und Administrative Computer-Systeme GmbH,Mendelstr. 11,48149,Münster,DE,49,1760263562,,,
Wespitec GmbH,Königsbenden 14,52249,Eschweiler,DE,49,1757012611,,,
SchiBo GmbH,Hessenstr. 38,56479,Niederroßbach,DE,49,1757459719,,,
Die Tragtasche AG by zhp,Bachstrasse 8,8280,Kreuzlingen,DE,49,1756728671,,,
WERBUNG aktuell,Dessauer Straße 6a,6886,Lutherstadt Wittenberg,DE,49,1752494023,,,
Quick Druck,Luisenstraße 55,80333,München,DE,49,151742689555,,,
STAFF Lichtwerbung & Neon,Döhrbruch 79,30559,Hannover,DE,49,1746145039,,,
doppler H. Würflingsdobler GmbH,Adolf-Kolping-Str. 3,84359,Simbach am Inn,DE,49,2458053175,,,
HM Technik GmbH,Schillerstraße 13,38440,Wolfsburg,DE,49,1604423984,,,
Abschleppdienst und Reparatur Graber Hans,Brennerstraße 5,6150,Steinach am Brenner,AT,43,6640020108,,,
Anhänger Steininger & Partner GmbH,Windhager Straße 22,3931,Schweiggers,AT,43,6643019220,,,
Täubl Sonnenschutz,Otto-Scharmitzerstr. 24,3464,Goldgeben,AT,43,6764429785,,,
Schönhacker Auto- und Fahrradzubehör,Ernest-Thum-Straße 1,3542,Gföhl,AT,43,6998521286,,,
Wuppinger Karosseriebau GmbH,Breitwies 6,5303,Thalgau,AT,43,6763066695,,,
Taxi Purtscher,Dorfbahnstrasse 23,6534,Serfaus - Tirol,AT,43,6640182326,,,
"Stöckler KFZ Technik, Inhaber: Thomas Stöckler",Lässern 478,6951,Lingenau,AT,43,6505688396,,,
Dobler GesmbH,Triester Bundesstraße 76,2640,Wörth,AT,43,6640181147,,,
A.M.C Strohmeier,Wernersdorf 111 A,8551,Wies,AT,43,6506848879,,,
Planungscompany GmbH,Marktstraße 179,5741,Neukirchen am Großvenediger,AT,43,6760041893,,,
Die Rednerin Mag. Christa Eisner,Scheigergasse 110,8010,Graz,AT,43,6503888125,,,
Manfred Walzer GmbH,Industriestr. 1,3701,Großweikersdorf,AT,43,6505380872,,,
Bestattung Mörtenhuber Michael,Bahnhofstraße 2 b,4642,Sattledt,AT,43,6502461931,,,
Print & Service Wilhelm Pilsner e.U.,Dr. Salzmann-Straße 2,4600,Wels,AT,43,7880313664,,,
Müller-Guttenbrunn GmbH,Industriestraße 12,3300,Amstetten,AT,43,6992585543,,,
Swingerclub Butterfly,Mühlberg 13,4982,Obernberg,AT,43,6992981335,,,
Fahrschule Gruber | Inhaber: Ing. Gerald Gruber,Max Hirschenauerstrasse 8,4780,Schärding,AT,43,6643222498,,,
Fahrschule Wallner,Heldendankstrasse 40,6900,Bregenz,AT,43,6994448485,,,
La Biosthetique Ursula Gallob,Paulitschgasse 11 EG/4,9020,Klagenfurt am Wörthersee,AT,43,6644408789,,,
Kindertagesheim Nepomuk,Hadikgasse 150 und 148 und 80,1140,Wien,AT,43,6641583224,,,
Tagesbetreuung Arche-Noah,Pfarrfeldstraße 464,5582,St. Michael,AT,43,6998768456,,,
Textilreinigung - Wäscherei Werner Lebl,Matzingerstraße 3-5,1140,Wien,AT,43,6030908699,,,
BGN Reinigungsservice GmbH,Salurnergasse 5,2340,Mödling,AT,43,6993600008,,,
SpeedClean Gebäudereinigung Christian Mailänder,Amraserstrasse 74,6020,Innsbruck,AT,43,9902600699,,,
Ing. Heinrich Rabl GmbH,Hauptstrasse 52,3813,Dietmanns,AT,43,6501310033,,,
DIE STEIGEREI,Bichlwangerstraße 5,6322,Kirchbichl,AT,43,6769395158,,,
Tattoostudio-Hautkunst,Traundorferstraße 8,4030,Linz / Ebelsberg,AT,43,6505861007,,,
Happy Needles,Schönbrunner Straße 2,1040,Wien,AT,43,6501860637,,,
Hundepension Pertl,Steinbrückl 1a,7531,Kemeten,AT,43,6646387041,,,
Hufschmied Robert Zöchling,Ing. Leopold Figl Strasse 28,2521,Trumau,AT,43,6994777125,,,
Pfotenstübchen Tiffany OG,Badener Straße 73/Top 1,2511,Pfaffstätten,AT,43,6501874329,,,
Chihuahua`s of little Chi,Klarenbrunnstr. 66,6700,Bludenz,AT,43,6765209831,,,
Chihuahua vom Hause Herrnstein,Lafnitz 180,8233,Lafnitz,AT,43,6507207395,,,
Silvia´s beautiful Papillon,Aigen 11,8911,Admont,AT,43,6504003343,,,
TRAUSSNIG Spedition GmbH,Auenfischerstraße 44,9400,Wolfsberg,AT,43,6503135129,,,
FÜRST Umzug,Triesterstrasse 4a,2353,Guntramsdorf,AT,43,6649275624,,,
Jimmy’s Stöckl & Stöckl OG,Standort Hinterstadt 22,6370,Kitzbühel,AT,43,6990847216,,,
Almrausch Planai,Planaistraße 2,8971,Schladming,AT,43,9143938676,,,
Longhorn Saloon,Mauthausenerstr. 76,4222,St. Georgen/Gusen,AT,43,6999141738,,,
Original Irish Pub,Schönaugasse 5,8010,Graz,AT,43,6760691607,,,
s´Finale APRÈS-SKI-BAR,Unterwaldstraße 10,6450,Sölden,AT,43,6502256486,,,
Seebar Starnberg,Sappl 10,9872,Millstatt,AT,43,6509171975,,,
Café-Bar d´schupf,Dorf 42,6352,Ellmau,AT,43,6990316041,,,
Cafe – Pension Margret,Geistbühelweg 5,6170,Zirl,AT,43,6646812263,,,
Wieden Bräu,Waaggasse 5,1040,Wien,AT,43,6764416857,,,
Reidinger Helicopter GmbH,Diepolz 45,2034,Diepolz,AT,43,699567799,,,
Tropfsteinhöhle Griffen,Kirchgasse 4,9112,Griffen,AT,43,6764898401,,,
Brünig Indoor | Kompetenzzentrum Schiessen,Walchistrasse 30,6078,Lungern,AT,43,6640302426,,,
Spanische Hofreitschule,Michaelerplatz 1,1010,Wien,AT,43,2038158699,,,
Fitnessstudio Mühlviertel,Leonfeldner Straße 77,4040,Linz-Urfahr,AT,43,6762174191,,,
Kletterakademie Mitterdorf GmbH,Auweg 14,8662,St. Barbara / Mitterdorf,AT,43,6993148615,,,
t-on Tonstudio & Proberäume – Cebul e.U.,Linke Wienzeile 40,1060,Wien,AT,43,2670060699,,,
Andrea Pirkner Buchhaltungsbüro,Wangerweg 6/5,5301,Eugendorf,AT,43,6998689351,,,
"andreas haderer, Wirtschaftsberatungs- und Buchhaltungs GmbH",Kennelbacher Straße 1,6900,Bregenz,AT,43,6640342161,,,
Anneliese Aichberger,Im Bäckerwinkel 7,4030,Linz,AT,43,6648918890,,,
Buchhaltung Agnes Beisteiner,Brunnerstraße 33/3.1,2700,Wiener Neustadt,AT,43,8111639664,,,
Niedermayer Steuerberatung GmbH,Passauer Straße 13,4780,Schärding,AT,43,666761911048,,,
Steuerberater Peter Müller,Zollgasse 9,6850,Dornbirn,AT,43,6501211989,,,
Dr. Harald Berger,Rennerstraße 25,4614,Marchtrenk,AT,43,6504886854,,,
Dr. Rudolf Schiessler Facharzt für Innere Medizin,Döblinger Hauptstraße 21/15,1190,Wien,AT,43,6508616914,,,
Dr. med. Birgit Brandner,Gersthofer Straße 162,1180,Wien,AT,43,846998581920,,,
Agentur Laguna Emil Musil,Wiener Str. 5,3580,Horn,AT,43,6996669942,,,
Pflege Valentin – Die Hauskrankenpflege für besondere Menschen e.V.,Pülslgasse 18/15,1230,Wien,AT,43,6501982478,,,
Apotheke Zur heiligen Elisabeth | Mag.pharm. Marianne Brix KG,Landwehrstraße 6,1110,Wien,AT,43,6509097365,,,
Apotheke zum Lebensbaum KG,Berchtesgadner Str. 35b,5020,Salzburg,AT,43,6999985357,,,
Tauern-Apotheke Mittersill,Kirchgasse 6,5730,Mittersill,AT,43,6507938064,,,
Invacare Austria GmbH,Herzog-Odilo-Straße 101,5310,Mondsee-Tiefgraben,AT,43,6506381102,,,
VIDEBIS GmbH,Schlosshofer Straße 6,1210,Wien,AT,43,6642502286,,,
Dr. Wilhelm Jordan,Markt 3,5620,Schwarzach,AT,43,6994609463,,,
"Optik Günther, Inh. René Trauner",Almerstraße 7,5760,Saalfelden,AT,43,6763754592,,,
Gemini Augenlaser Praxis,"Opernring 1, Stiege R, 7. Stock",1010,Wien,AT,43,6990509381,,,
Dr. med. Schiwa Almasbegy,Andreas-Hofer-Straße 4,6020,Innsbruck,AT,43,6764794332,,,
Aktiv & Vital Forum Isabella Wulz e. U.,Gewerbestraße 8,9330,Althofen,AT,0,,,,
Mütterstudio Tulln,Karl Metz-Gasse 22,3430,Tulln an der Donau,AT,0,,,,
Hansa Privatklinikum Graz GmbH,Körblergasse 42,8010,Graz,AT,43,6999731270,,,
Kinesiologie Silvia Hoanzl,Neustift bei Schlaining 66,7433,Mariasdorf,AT,43,6760937966,,,
Teamwork-Hund,Waldeggstr. 3,4591,Molln,AT,43,6649032176,,,
Einklang Andrea Leitner,Unterstiftung 6,4190,Bad Leonfelden,AT,43,6506268839,,,
Lebenswohl Tina Steinwender,Lutzmannsdorf 23,8861,St. Georgen am Kreischberg,AT,43,6761375524,,,
Naturpraxis Inge Nedved-Kempf,Königsklostergasse 7/3 Mezzanin,1060,Wien,AT,43,6505458500,,,
Orthopädie Schuhtechnik Nindl GmbH,Kirchenstraße 36,5733,Bramberg am Wildkogel,AT,0,,,,
A.Novak GmbH,Wimmergasse 7,1050,Wien,AT,0,,,,
"Praxis für Krankengymnastik, Inh. Katja Bandlow und Bettina Ulfert GbR",Güntzelstraße 62,10717,Berlin-Wilmersdorf,AT,43,3297194650,,,
Psychotherapie Linz Leonding - Mag Martina Simbürger MAS,Sonnhubergasse 2,4060,Leonding,AT,43,340433676,,,
Dr. Sylvia Holle-Robatsch,Windhabergasse 11,1190,Wien,AT,43,6647056595,,,
Pferdeklinik Pasterk GmbH,Pferdepromenade 4 / Stall 6,2483,Ebreichsdorf,AT,43,6648217087,,,
Mag. Dorit Seibert-Schwarz - Tierarzt,Nappersdorf 10,2023,Nappersdorf - Kammersdorf,AT,43,6641956588,,,
SlowDown,Wiedengasse 9,2225,Zistersdorf,AT,43,6766350862,,,
"Bella Donna - The Beauty Factory, Inhaberin: Margot Wäger",Am Garnmarkt 2,6840,Götzis,AT,43,6502688296,,,
densibile Annette Steinmetz med. dent Zahnärztin,Aberseestraße 7,5340,St. Gilgen,AT,43,6768299366,,,
Kieferorthopädie Willi Minich,Schlossweg 1,5310,Mondsee,AT,43,3582258650,,,
"Dr. med. dent. Gregor Ley, BA, Facharzt für Zahn-, Mund- und Kieferheilkunde",Preuenhueberstraße 5,A-4400,Steyr,AT,43,6768072226,,,
Dr. Karin Dosti,Marktplatz 5,2486,Pottendorf,AT,43,6995806319,,,
Fa. Donalda Duka Cash Fuchs,Schönaugürtel 21,A-8010,Graz,AT,43,6767433984,,,
Kathrin´s Kinderwelt Inh. Hofer Kathrin e.U.,Speckbacherstraße 15,6380,St. Johann in Tirol,AT,43,206762703341,,,
VIF ZACK - Bastelmarkt,Ortenburger Straße 3,9800,Spittal an der Drau,AT,43,6500567279,,,
Trachten Wichtlstube GmbH,Linzerstraße 20,4650,Edt bei Lambach,AT,43,6641367242,,,
Pinoccio Kinderparadies,Staldenstrasse 1,6890,Lustenau,AT,43,6995515166,,,
Mode von Leskovar,Hauptstraße 26,2640,Gloggnitz,AT,43,6505938972,,,
"Lechtaler Schuhhaus - Gerhard Hosp, Inhaber: Gerhard Hosp",Lend 14,6642,Stanzach,AT,43,4208712676,,,
"Berufsbekleidung Buxtehude, Inh. Monika Martin",Bahnhofstraße 48-50,21614,Buxtehude,AT,43,6647838931,,,
"Purer Bettenstudio, Inhaber: Michael Purer",Bahnhofstraße 1,3204,Kirchberg an der Pielach,AT,43,6995468611,,,
SUNBEAM Watersports GmbH,Köstendorfer Landesstr. 7,5163,Mattsee,AT,43,6508997386,,,
J.G. Sydy's Buchhandlung Ludwig Schubert GmbH Nachfolge KG,Wiener Str. 6,3100,St.Pölten,AT,43,67683941,,,
Creatives und Papier - Friederike Siebenhofer,Postplatz 4,5580,Tamsweg,AT,43,6992764484,,,
Fahrradshop PEDALUS - Garber Roland,Thaliastraße 152,1160,Wien,AT,43,6507206373,,,
Rad & Tat - Johann Brunner,Einfangstraße 5,6330,Kufstein,AT,43,6768283465,,,
Alexander Kneringer Fliesen- und Natursteinverlegung,Schönegg 557,6542,Pfunds,AT,43,6645851863,,,
GTW Gastronomietechnik Weilharter GmbH,Bundesstraße 62,8740,Zeltweg,AT,43,6641584002,,,
Wolle und Leinen Ulrike Bartenbach,Wichnerstraße 25,6700,Bludenz,AT,43,6762902243,,,
SG Stoffgeschichten KG,Leonhardstraße 36,8010,Graz,AT,43,6766459231,,,
Handarbeiten-Wäsche Veit,Kirchenplatz 11,2225,Zistersdorf,AT,43,6509537133,,,
Taschen-Angerer,Franz-Josef-Straße 11,6130,Schwaz,AT,43,6643952647,,,
"Bio-Hofladen Familie Frühwald, Ing. Roland Frühwald",Hauptstraße 67,3442,Langenschönbichl,AT,43,6642906262,,,
Tauschzentrale Vöcklabruck,Ferdinand Öttl Straße 17,4840,Vöcklabruck,AT,43,6990755987,,,
Kamera Service Redl,Bennogasse 24,1080,Wien,AT,43,6502976756,,,
Blasinstrumentenwerkstatt Eduard Kiefl,Bahnstrasse 37,7064,Oslip,AT,43,6640304915,,,
"AUSTROSAAT, Österreichische Samenzucht- u. Handels-Aktiengesellschaft",Oberlaaerstraße 279,1232,Wien,AT,43,6502611904,,,
Rosen Waibel GmbH,Leha 1,6841,Mäder,AT,43,6997569830,,,
"Blütenzauber | Meisterfloristik Murau, Inhaberin: Christina Hollerer",Keltensiedlung 140,8850,Murau,AT,43,6641836417,,,
Wash | Wolfgang Seiwald,Point 4,4114,Neuhaus a.d. Donau,AT,43,6645146646,,,
"Juwelier Purtscher, Inh. Sigrid Schalhas",Hauptplatz 15,3240,Mank,AT,43,6645738332,,,
Renate Doringer-Millich Modeschmuck,Wollzeile 22,1010,Wien,AT,43,6996934156,,,
Fischer Schuhe,Liechtensteinstraße 29,1090,Wien,AT,43,6765236420,,,
Tones Paintballstore,Gehr 2,6850,Dornbirn,AT,43,6769680100,,,
Peter Gumpold GmbH,Schwarzacherweg 200,5754,Hinterglemm,AT,43,6502785723,,,
Phönix Handarbeitsboutique e.U.,Possingergasse 59-61/1/1-2,1160,Wien,AT,43,6509127193,,,
"Ramin Wildfutter, Wildfutter Hierner",Rammersdorf 3,3231,St. Margarethen a. d. Sierning,AT,43,6500486931,,,
"Der Hundeladen | Stephanie Graf, BA MA",Wallseerstraße 6,4100,Ottensheim,AT,43,6763203449,,,
EZA Fairer Handel GmbH,Wenger Straße 5,5203,Köstendorf,AT,43,6763035426,,,
"Fast-Pack, Inh. Andreas Blüm",Industriestraße 16a,9586,Fürnitz,AT,43,6502431683,,,
querkraft architekten zt gmbh,Börseplatz 2,1010,Wien,AT,43,6647531686,,,
"Pohl Johann, Architekt - Ingenieur - Baumeister",Gewerbestraße 2a,6430,Ötztal-Bahnhof,AT,43,6993772837,,,
Z&H Blitzschutzbau GmbH,Leithen 6,4952,Weng im Innkreis,AT,43,6994714652,,,
Fliesen Platzer Ges.m.b.H.,Kärntner Straße 353,8054,Graz,AT,43,6997431892,,,
Höller Hannes GmbH,Mariazeller Straße 27,3160,Traisen,AT,43,6505977015,,,
Strug & Graf OG,Gewerbepark 18,3452,Trasdorf,AT,43,6643793471,,,
Gartengestaltung Fleischhacker GesmbH,Puppitsch 4a,9300,Sankt Veit an der Glan,AT,43,6764405936,,,
Imkerhof Salzburg,Wolfgangseestrasse 108,5321,Koppl bei Salzburg,AT,43,6991633458,,,
Gemeinnützige Bau- und Siedlungsgenossenschaft FRIEDEN,Hietzinger Hauptstrasse 119,1130,Wien,AT,43,536509157785,,,
Wohnen mit Hassler GmbH,Tiroler Straße 40,9900,Lienz,AT,43,6767032668,,,
Anna Ochsenbauer Vergolder- und Staffierermeisterin,Hauptstraße 68,3653,Wien,AT,43,6506608980,,,
Kurt Hofer Tischlerei GmbH,Binsenfeldstrasse 19a,6890,Lustenau,AT,43,6764891035,,,
Homo Faber Metalltechnologie e.U.,Loferer Straße 14,6322,Kirchbichl,AT,43,6990343097,,,
Schmachtl GmbH,Pummererstraße 36,4020,Linz,AT,43,6506417478,,,
Klenkhart & Partner Consulting ZT Gesellschaft m.b.H.,Salzbergstraße 15,6067,Absam,AT,43,6502527848,,,
Europlast Kunststoffbehälterindustrie GmbH,Schmelz 83,9772,Dellach im Drautal,AT,43,6996716035,,,
Chemson Polymer – Additive AG,Industriestraße 19,9601,Arnoldstein,AT,43,6502843017,,,
Hubertus GOLLER GesmbH,Donaustraße 110,3400,Klosterneuburg,AT,43,6768014060,,,
IMA Schelling Austria GmbH,Gebhard-Schwärzler-Str. 34,6858,Schwarzach/Austria,AT,43,6647177822,,,
Lahner KG,Industriestraße A/4,2345,Brunn am Gebirge,AT,43,6504896520,,,
REFA in Austria,Kärntner Ring 5-7,1010,Wien,AT,43,6990555846,,,
Ayurveda-Verein Nexenhof e.V.,Grund 100,2041,Grund,AT,43,6642770792,,,
"Don Bosco Haus, Zentrum für Jugend- und Erwachsenenbildung der Salesianer Don Boscos",St. Veit-Gasse 25,1130,Wien,AT,43,6764653253,,,
Schischule Stubai Tirol,Bahnstrasse 17,6166,Fulpmes,AT,43,6998940685,,,
Tom Veith Feuershow und Zaubershow,Kehlerstrasse 12,6900,Bregenz / Vorarlberg,AT,43,6647280896,,,
Ruprechter Bildhauerei,Glatzham 33,6252,Breitenbach am Inn,AT,43,6503238592,,,
Archeo Norico - Burgmuseum Deutschlandsberg,Burgplatz 2,8530,Deutschlandsberg,AT,43,6500388445,,,
Altenmarkter Heimatmuseen,Brunnbauerngasse 1,5541,Altenmarkt im Pongau,AT,43,6996768078,,,
"1. Kärntner Handwerksmuseum, Verein Helfer der Ortenburg",Unterhaus 18,9805,Baldramsdorf,AT,43,6996983494,,,
Ötscherland Camping,Zellerhofstraße 23,3293,Lunz am See,AT,43,6649287807,,,
Einkehrhof Poggau - Familie Franz und Julia Mayer,Buchberg 18,3264,Reinsberg,AT,43,6644031387,,,
"Ferienpension Haflingerhof, Besitzer: Bettina & Markus Vögele",Moosen 36,6233,Kramsach,AT,43,6996445184,,,
Krassnig Naturerlebnishof - Sylvia & Franz Kraßnig,Zwattendorf 4,9554,Sankt Urban,AT,43,6766073045,,,
Damüls Appartements,Oberdamüls 177,6884,Damüls,AT,43,6992799227,,,
Gästehaus Pendl,Hollenzen 70,6290,Mayrhofen,AT,43,6768951526,,,
Gasthof Falken,Großdorf 7,6863,Egg - Großdorf,AT,43,6764726232,,,
Gasthof Steixner,Kuntenweg 1,6116,Weer,AT,43,6997498335,,,
Gästehaus Rosa Denk,Florianigasse 132,3610,Wösendorf,AT,43,6643758160,,,
Alpengasthof Gaislach Alm,Gaislachalm 18,6450,Sölden,AT,43,6769287775,,,
Pension Truya-Hof,Latschthayaweg 8,6533,Fiss,AT,43,6508021054,,,
"Ferienhotel Angerhof, Inhaber: Hermann Josef Senn",Winkel 5,6533,Fiss,AT,43,3935567650,,,
Hotel Seerose,Dorfstraße 20,5330,Fuschl am See,AT,43,864837,,,
Hotel Kohlerhof,Hochfügener Straße 84,6263,Fügen,AT,43,6642912608,,,
Landhotel Haagerhof,Diendorf 20,4160,Aigen/Schlägl,AT,43,6508276739,,,
Hotel Pension Hertehof,Damüls 186,6884,Damüls,AT,43,6502617929,,,
Gästehaus Sonnblick,Annastrasse 22,9210,Pörtschach am Wörthersee,AT,43,6767765613,,,
Feldlhof - Familie Engelhardt,Ramsau 66,8972,Ramsau am Dachstein,AT,43,6508705589,,,
Unser Hoamat Appartements,Pichl 49,8973,Schladming-Pichl,AT,43,6642922695,,,
Hotel Lackenbauer,Anger 36,5630,Bad Hofgastein,AT,43,3584017664,,,
Haus Dschulnigg,Marktstraße 114,5741,Neukirchen am Großvenediger,AT,43,6508798531,,,
Pension Seepanorama & Weingut,Sportplatzgasse 1A,7121,Weiden am See,AT,43,6760816707,,,
sonnenland draisinentour gmbh,Carl Goldmark-Straße 4,7301,Deutschkreutz,AT,43,6505469568,,,
Buschenschank Luttenberger,Seibersdorf 20,8423,St. Veit in der Südsteiermark,AT,0,,,,
Weingut Setzer GmbH,Hauptstraße 64,3472,Hohenwarth,AT,43,6998313907,,,
Weinbau Hermine Kovacs,Elisabethgasse 41,7301,Deutschkreutz,AT,0,,,,
Weingut Pilch OG,Weingut Pilch OG,8461,Ratsch an der Weinstraße,AT,43,6647283659,,,
Winzerhof Widmayer,Mauternbach 27,3512,Mautern an der Donau,AT,43,6991383862,,,
Weinschloss Koarl Thaller GmbH,Maierhofbergen 24,8263,Großwilfersdorf,AT,43,6762175111,,,
MALAT Weingut GmbH & Co KG,Hafnerstraße 12,3511,Palt,AT,0,,,,
Alpentaverne-Großarl,Bergstrasse 105,5611,Großarl,AT,43,6997533897,,,
SPADT Zimmer,Wienerstraße 5/Haus 3-6,2482,Münchendorf,AT,43,6640527020,,,
"Haus Schönblick, Astrid Beiser",Omesberg 499,6764,Lech am Arlberg,AT,43,596509188401,,,
"Appartement Edelweiss, Fam. Christine und Heinz Müller",Kirchberg 31,6733,Fontanella,AT,43,6509123356,,,
Valschena Appartement,Studa 58,6708,Brand,AT,43,6505433155,,,
"Kerschbaumerhof, Familie Moosbrugger",Obere Klaus 38,8970,Schladming,AT,43,6992118610,,,
ef16 Restaurant Weinbar,Fleischmarkt 16,1010,"Wien,",AT,0,,,,
Steirereck,"Am Heumarkt	2A,",1030,"Wien,",AT,0,,,,
Lugeck,Lugeck 4,1010,"Wien,",AT,0,,,,
Patara Restaurant Vienna GmbH,Peterspl.1,1010,"Wien,",AT,0,,,,
Fankhauser AG Huttwil,Walke 1,4938,Rohrbach,CH,41,300337878,,,
TS-Velos GmbH,Jurastrasse 2,4554,Etziken,CH,41,5837154,,,
Nocera & Strub AG,Hirzenstrasse 1,9244,Niederuzwil,CH,41,37950679,,,
Druckerei Lutz AG,Hauptstrasse 18,9042,Speicher,CH,41,788579115,,,
Hch. Borer Kartenverlag AG,Ilbachstrasse 39,4228,Erschwil,CH,41,760352498,,,
ACR Energiebohr AG,Karlihofstrasse 9,7208,Malans,CH,41,792487154,,,
Elektrizitätswerk Obwalden,Stanserstrasse 8,6064,Kerns,CH,41,760529174,,,
Kita Farfallina,Eigerstrasse 10,3007,Bern,CH,41,785232139,,,
Kinderkrippe Paradies Ibach,Hof 2,6438,Ibach,CH,41,76242521,,,
Schneider Atelier Renaissance,Forchstrasse 111,8032,Zürich,CH,41,1583869,,,
Simon's Steakhouse Grill & Restaurant & Bar,Niederdorfstrasse 13,8001,Zürich,CH,41,,,,
Tierferienheim Höfli,Höfli 66,4574,Nennigkofen,CH,41,796885332,,,
Triple-S Ausbildungszentrum GmbH,Berghaus Oberbölchen,4458,Eptingen BL,CH,41,780559810,,,
Pfotensalon Virginia Gafner,Gwattstrasse 93a,3645,Gwatt,CH,41,746737366,,,
aMa-Umzüge,Hofackerstr. 37,4132,Muttenz,CH,41,783283043,,,
ECOTENT Flümoart,Seetalstrasse 72,8280,Kreutzlingen TG,CH,41,783585206,,,
"Jane Fine Food, Inh. Jane Ingold",Erlachstrasse 46,8003,Zürich,CH,41,782581264,,,
Restaurant Bärgbeizli Bidmi,Bidmi 788,6086,Hasliberg-Reuti,CH,41,8565856,,,
Schürlibeiz zum Asperhof,Asperhof 561,8478,Thalheim an der Thur,CH,41,742969836,,,
"MAROWIL Fischereiartikel, Inh. Robert Flury",Solothurnstrasse 36,4536,Attiswil BE,CH,41,8361971,,,
Maya Hauri Vergnügungsbetriebe,Hans Hässig-Strasse 25,5000,Aarau,CH,41,581054276,,,
"H&E Kutschenfahrten, Marie-Theres Eggermann und Heimo Haas",Ruflisbergstrasse 11,6006,Luzern,CH,41,5873606,,,
Köchli Pferdefahrten,Brunnengasse 1,8162,Steinmaur,CH,41,761451509,,,
"Kutschenfahrten und Fahrsport - Stall Schönenberger, Familie Monika und Armin Schönenberger",Unterdorf 10,9607,Mosnang SG,CH,41,8206960,,,
"Kutschenfahrten Vogelsanger, Margrit und Arthur Vogelsanger",Chilchgasse 3,8214,Gächlingen,CH,41,762836124,,,
Camelot-Shires Fuhrhalterei GmbH,Kreuzlingerstrasse 8,8584,Opfershofen,CH,41,796332724,,,
Kutschenfahrten Baumli,Chäppeliacher 15,6027,Römerswil LU,CH,41,760985870,,,
"Modelleisenbahnen H. R. Gehri, Inh. Stefan Bosshard",Wehntalerstrasse 4,8162,Steinmaur,CH,41,9218554,,,
QueensRanchAcademy AG,La Côtes aux Moines 36,1584,Villars-le-Grand,CH,41,8883738,,,
Tauchsport Signer GmbH,Hauptstrasse 77,8716,Schmerikon,CH,41,700566081,,,
Schneesportschule Obersaxen,Valdunga 13,7134,Obersaxen,CH,41,813437327,,,
"ZIB Tribastone GmbH, Zentrum für interdisziplinäre Begutachtungen",Spitalgasse 26,3011,Bern,CH,41,5220366,,,
Dr. med. Ivan Kremer,Zeltweg 50,8032,Zürich,CH,41,769966950,,,
Praxis Dr. med. Wilfried Zihlmann,Maurstrasse 24a,8117,Fällanden,CH,41,815564738,,,
Dr. med. J. Wolfgang Schwarz,Ferrachstrasse 9,8630,Rüti ZH,CH,41,819518198,,,
